athlete_id,player_name,recruit_name,recruit_year,recruit_rank,espn_grade,recruit_team,recruit_pos,yr1_season,yr2_season,yr1_impact,yr2_impact,yr1_games,yr2_games,impact_delta,in_draft_2026,draft_prob_early,draft_prob_mid,draft_prob_late
5174267.0,Mikaylah Williams,Mikaylah Williams,2023,2.0,98.0,LSU,G,2024,2025,18.96,23.44,33,33,4.48,False,,,
5174407.0,Jadyn Donovan,Jadyn Donovan,2023,3.0,97.0,Duke,G,2024,2025,13.78,14.85,31,33,1.07,False,,,
5174425.0,Ciera Toomey,Ciera Toomey,2023,4.0,97.0,North Carolina,P,2024,2025,,5.36,0,34,,False,,,
5174674.0,Hannah Hidalgo,Hannah Hidalgo,2023,5.0,97.0,Notre Dame,PG,2024,2025,36.81,32.27,32,31,-4.54,False,,,
5174269.0,Aalyah Del Rosario,Aalyah Del Rosario,2023,7.0,97.0,LSU,P,2024,2025,9.37,2.77,33,33,-6.6,False,,,
5175868.0,Montaya Dew,Montaya Dew,2023,8.0,97.0,Arizona,F,2024,2025,,6.35,0,29,,False,,,
5174356.0,Zoe Brooks,Zoe Brooks,2023,9.0,97.0,NC State,G,2024,2025,15.51,21.15,33,32,5.64,False,,,
5175936.0,Courtney Ogden,Courtney Ogden,2023,10.0,97.0,Stanford,W,2024,2025,4.63,9.04,33,29,4.41,False,,,
5174251.0,Taliah Scott,Taliah Scott,2023,11.0,97.0,Arkansas,G,2024,2025,15.1,2.53,32,30,-12.57,False,,,
5175792.0,Madison Booker,Madison Booker,2023,12.0,96.0,Texas,W,2024,2025,24.27,24.08,34,34,-0.19,False,,,
5174285.0,MiLaysia Fulwiley,Milaysia Fulwiley,2023,13.0,96.0,South Carolina,PG,2024,2025,18.02,17.6,32,33,-0.42,False,,,
5175870.0,Breya Cunningham,Breya Cunningham,2023,14.0,96.0,Arizona,P,2024,2025,14.89,20.22,32,29,5.33,False,,,
5174493.0,Ashlynn Shade,Ashlynn Shade,2023,15.0,96.0,UConn,G,2024,2025,14.89,12.86,34,34,-2.03,False,,,
5122345.0,Cassandre Prosper,Cassandre Prosper,2023,16.0,96.0,Notre Dame,F,2024,2025,2.37,10.29,32,31,7.92,True,0.3472,0.3717,0.2811
5121055.0,Chloe Kitts,Chloe Kitts,2023,17.0,96.0,South Carolina,F,2024,2025,14.83,17.71,32,33,2.88,False,,,
4894357.0,Riley Nelson,Riley Nelson,2023,18.0,96.0,Maryland,W,2024,2025,3.33,,32,0,,False,,,
5174261.0,Laila Reynolds,Laila Reynolds,2023,19.0,96.0,Florida,G,2024,2025,11.2,13.94,31,33,2.74,False,,,
5174673.0,Emma Risch,Emma Risch,2023,20.0,96.0,Notre Dame,G,2024,2025,1.81,3.59,32,31,1.78,False,,,
4898657.0,Jada Williams,Jada Williams,2023,21.0,96.0,Arizona,PG,2024,2025,1.88,4.05,30,28,2.17,False,,,
5174249.0,Essence Cody,Essence Cody,2023,22.0,96.0,Alabama,P,2024,2025,15.27,18.88,32,31,3.61,False,,,
5175754.0,Sahara Williams,Sahara Williams,2023,23.0,96.0,Oklahoma,W,2024,2025,14.53,15.59,31,32,1.06,False,,,
5174436.0,Kymora Johnson,Kymora Johnson,2023,24.0,96.0,Virginia,G,2024,2025,24.36,27.72,30,32,3.36,False,,,
5174284.0,Tessa Johnson,Tessa Johnson,2023,25.0,95.0,South Carolina,G,2024,2025,7.61,11.19,32,33,3.58,False,,,
5175891.0,Sofia Bell,Sofia Bell,2023,26.0,95.0,Oregon,W,2024,2025,8.35,5.85,32,28,-2.5,False,,,
5174408.0,Oluchi Okananwa,Oluchi Okananwa,2023,27.0,95.0,Duke,G,2024,2025,16.19,16.98,31,33,0.79,False,,,
5175965.0,Sayvia Sellers,Sayvia Sellers,2023,28.0,95.0,Washington,PG,2024,2025,12.99,20.85,30,31,7.86,False,,,
5174409.0,Delaney Thomas,Delaney Thomas,2023,29.0,95.0,Duke,F,2024,2025,8.17,12.62,31,33,4.45,False,,,
5174423.0,Reniya Kelly,Reniya Kelly,2023,30.0,95.0,North Carolina,PG,2024,2025,4.86,12.68,31,34,7.82,False,,,
5175937.0,Amanda Muse,Amanda Muse,2023,32.0,95.0,UCLA,P,2024,2025,2.25,,31,0,,False,,,
5175474.0,Amari Whiting,Amari Whiting,2023,33.0,95.0,BYU,PG,2024,2025,17.58,18.19,32,27,0.61,False,,,
5175749.0,S'Mya Nichols,S'mya Nichols,2023,34.0,95.0,Kansas,W,2024,2025,19.66,24.05,31,27,4.39,False,,,
5174306.0,Kylie Marshall,Kylie Marshall,2023,35.0,95.0,Texas A&M,G,2024,2025,0.59,6.58,31,30,5.99,False,,,
5175473.0,Lety Vasconcelos,Letycia Vasconcelos,2023,36.0,95.0,Baylor,P,2024,2025,1.6,,31,0,,False,,,
5124078.0,Gisella Maul,Gisella Maul,2023,38.0,94.0,Texas,G,2024,2025,3.24,1.87,34,32,-1.37,False,,,
5175935.0,Chloe Clardy,Chloe Clardy,2023,39.0,94.0,Stanford,G,2024,2025,4.24,15.15,33,29,10.91,False,,,
5174286.0,Sahnya Jah,Sahnya Jah,2023,40.0,94.0,South Carolina,W,2024,2025,2.78,5.32,32,29,2.54,False,,,
5174492.0,Qadence Samuels,Qadence Samuels,2023,41.0,94.0,UConn,F,2024,2025,8.03,2.06,34,34,-5.97,False,,,
5124668.0,Sammie Wagner,Sammie Wagner,2023,42.0,94.0,Oregon,W,2024,2025,1.6,,32,0,,False,,,
5175720.0,Amiyah Reynolds,Amiyah Reynolds,2023,43.0,94.0,Purdue,G,2024,2025,,3.44,0,28,,False,,,
5174266.0,Angelica Velez,Angelica Velez,2023,44.0,94.0,LSU,PG,2024,2025,1.31,4.66,33,30,3.35,False,,,
5174434.0,Olivia McGhee,Olivia McGhee,2023,45.0,94.0,Virginia,G,2024,2025,7.92,10.83,30,32,2.91,False,,,
5175967.0,Ari Long,Ari Long,2023,46.0,94.0,Washington,PG,2024,2025,3.7,4.53,30,28,0.83,False,,,
5175487.0,Jalynn Bristow,Jalynn Bristow,2023,47.0,94.0,Iowa State,F,2024,2025,8.38,6.37,31,33,-2.01,False,,,
5175945.0,Malia Samuels,Malia Samuels,2023,49.0,94.0,USC,PG,2024,2025,2.4,5.37,31,31,2.97,False,,,
